,Observation ID,Camera,Exposure Identifier,Exposure Time,l,b,Target,Target Type
0,0721010401,MOS1,S001,104.2,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
1,0721010501,MOS2,S002,98.3,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
2,0721010301,MOS2,S002,96.3,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
3,0721010301,MOS1,S001,96.0,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
4,0604860301,MOS1,S001,95.9,359.7,-7.2,V4046 Sgr,T TAURI STAR
5,0721010501,MOS1,S001,95.4,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
6,0721010201,MOS2,S002,90.0,10.4,11.2,PDS 456,QSO RADIO QUIET TYPE 1
7,0653550301,MOS1,S001,73.2,5.1,-6.2,V4633 Sgr,CV
8,0653550301,PN,S003,63.2,5.1,-6.2,V4633 Sgr,CV
9,0502370201,MOS1,U002,61.8,7.2,1.5,HD 163296,HERBIG AE/BE STAR
10,0500540101,MOS1,U002,50.6,357.2,-4.9,4U 1755-33,LMXRB BLACK HOLE SOFT TRANSIENT
11,0305540701,MOS1,S001,49.5,353.0,16.6,rho Oph,STAR FORMING REGION
12,0693870101,MOS2,S002,47.4,6.4,4.9,PSR J1741-2054,GAMMA RAY SOURCE PULSAR
13,0781710401,MOS2,S002,46.8,3.6,-3.8,CATSJ180839.8,CV
14,0781710401,MOS1,S001,46.1,3.6,-3.8,CATSJ180839.8,CV
15,0781760101,PN,S003,46.0,357.3,-6.1,1RXS J180408.9-34205,LMXRB BURSTER SOFT TRANSIENT
16,0763100101,MOS2,U002,37.6,5.2,-3.4,SAX J1810.8-2609,LMXRB BURSTER SOFT TRANSIENT
17,0763100101,MOS1,U002,35.4,5.2,-3.4,SAX J1810.8-2609,LMXRB BURSTER SOFT TRANSIENT
18,0099760201,MOS1,S001,33.4,7.6,1.4,V2416 SGR,STAR M5
19,0099760201,MOS2,S002,32.8,7.6,1.4,V2416 SGR,STAR M5
20,0075140501,MOS2,S002,26.6,40.1,-3.2,SS433-jet2,X-RAY BINARY BLACK HOLE JETS
21,0021750701,MOS2,S005,26.5,321.5,-15.3,AlphaTrA,STAR K2II
22,0720173001,MOS2,S002,26.4,38.3,-7.3,CoRoT 2a,STAR G7V
23,0720174301,MOS2,S002,26.4,38.3,-7.3,CoRoT 2a,STAR G7V
24,0021750701,MOS1,S004,26.3,321.5,-15.3,AlphaTrA,STAR K2II
25,0720173001,MOS1,S001,26.0,38.3,-7.3,CoRoT 2a,STAR G7V
26,0511581601,MOS1,S002,26.0,346.9,40.7,GRB080120,GAMMA RAY BURSTS
27,0674491501,MOS1,S001,25.6,333.5,-33.7,SPT-CLJ2018-6259,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
28,0674491501,MOS2,S002,25.5,333.5,-33.7,SPT-CLJ2018-6259,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
29,0720174001,MOS1,S001,25.4,38.3,-7.3,CoRoT 2a,STAR G7V
30,0045340101,PN,U002,24.7,315.7,-0.7,Alpha Centauri,UNDEFINED
31,0201902401,MOS2,S002,24.3,28.7,-33.6,RXCJ2048.1-1750,CLUSTER OF GALAXIES
32,0720173701,MOS1,S001,23.7,38.3,-7.3,CoRoT 2a,STAR G7V
33,0021750501,MOS1,S004,23.5,321.5,-15.3,AlphaTrA,STAR K2II
34,0653050301,MOS1,S007,23.2,341.1,-32.9,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
35,0406410101,MOS2,S008,23.0,326.1,14.0,VV 780,INTERACTING GALAXY
36,0720173401,MOS1,S001,22.9,38.3,-7.3,CoRoT 2a,STAR G7V
37,0720173001,PN,S003,22.7,38.3,-7.3,CoRoT 2a,STAR G7V
38,0601741001,MOS2,S008,22.6,323.9,-6.3,IGR J16024-6107,SEYFERT RADIO QUIET TYPE 2
39,0305580101,MOS1,S001,22.5,43.0,0.8,SGR 1900+14,GAMMA RAY BURSTS SOFT REPEATER
40,0672990201,MOS1,U002,22.2,14.9,-42.4,1FGL J2112.5-3044,GAMMA RAY SOURCE PULSAR
41,0724690501,MOS1,S001,22.0,39.6,-6.1,HD 182640,STAR F0V
42,0400460301,MOS2,S004,21.9,6.2,-38.3,HD 197890,STAR K0V
43,0305580201,MOS1,S001,21.9,43.0,0.8,SGR 1900+14,GAMMA RAY BURSTS SOFT REPEATER
44,0720174101,MOS2,S002,21.8,38.3,-7.3,CoRoT 2a,STAR G7V
45,0724690501,MOS2,S002,21.7,39.6,-6.1,HD 182640,STAR F0V
46,0099760201,PN,S003,21.7,7.6,1.4,V2416 SGR,STAR M5
47,0400460301,MOS1,S003,21.5,6.2,-38.3,HD 197890,STAR K0V
48,0720280101,MOS2,S002,21.4,326.1,17.4,IG RJ14488-4008,SEYFERT RADIO QUIET TYPE 1
49,0720280101,MOS1,S001,21.4,326.1,17.4,IG RJ14488-4008,SEYFERT RADIO QUIET TYPE 1
50,0724770201,MOS2,S002,21.1,341.0,-35.9,SPT-CL-J2031-5638,CLUSTER OF GALAXIES (NON-ABELL)
51,0724770201,MOS1,S001,20.9,341.0,-35.9,SPT-CL-J2031-5638,CLUSTER OF GALAXIES (NON-ABELL)
52,0653050601,MOS1,S007,20.9,341.4,-33.1,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
53,0784370301,MOS1,S001,20.7,346.3,-40.5,ESO 235-IG 026,AGN UNCLASSIFIED
54,0502510501,PN,S003,20.4,36.0,-20.8,PKS2008-068,RADIO GALAXY RADIO LOUD FLAT RADIO SP
55,0720174101,MOS1,S001,20.4,38.3,-7.3,CoRoT 2a,STAR G7V
56,0305590401,MOS1,S001,20.3,38.2,-7.7,176B,UNIDENTIFIED
57,0201730201,MOS2,S002,20.2,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
58,0307001901,MOS1,S001,20.1,329.1,-7.1,ESO 137-G34,SEYFERT RADIO QUIET TYPE 2
59,0692930101,MOS1,S001,19.7,345.5,-39.3,PLCKESZG345.40-39.34,CLUSTER OF GALAXIES (NON-ABELL)
60,0720174301,PN,S003,19.6,38.3,-7.3,CoRoT 2a,STAR G7V
61,0201500301,MOS2,S002,19.4,31.9,-1.1,AX J1853.3-0128,X-RAY PULSATOR
62,0305580101,PN,S003,19.2,43.0,0.8,SGR 1900+14,GAMMA RAY BURSTS SOFT REPEATER
63,0741700301,MOS2,S002,19.1,315.7,-0.7,alpha Cen,STAR G2V
64,0741700301,MOS1,S001,18.9,315.7,-0.7,alpha Cen,STAR G2V
65,0742820101,MOS2,S003,18.7,38.0,-0.1,2FGL J1901.1+0427,GAMMA RAY SOURCE
66,0690800301,MOS2,S002,18.2,315.7,-0.7,alpha Cen,STAR G2V
67,0207010201,MOS2,S002,17.9,31.1,0.2,PSR J1847-0130,RADIO PULSAR
68,0741680101,PN,S003,17.7,356.3,33.6,HD 140283,STAR F3V
69,0674491501,PN,S003,17.6,333.5,-33.7,SPT-CLJ2018-6259,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
70,0406140201,MOS1,S001,17.5,29.8,-0.7,IGR J18483-0311,UNIDENTIFIED
71,0744390401,MOS2,S002,17.5,340.2,-33.2,RXCJ2011.3-5725,CLUSTER OF GALAXIES (NON-ABELL)
72,0305580201,PN,S003,17.4,43.0,0.8,SGR 1900+14,GAMMA RAY BURSTS SOFT REPEATER
73,0201902401,PN,S003,17.4,28.7,-33.6,RXCJ2048.1-1750,CLUSTER OF GALAXIES
74,0784770601,MOS2,S002,17.3,27.3,-26.2,PSR J2017-16,RADIO PULSAR
75,0720581101,MOS1,S001,17.0,315.7,-0.7,alpha Cen,STAR G2V
76,0784770601,MOS1,S001,16.9,27.3,-26.2,PSR J2017-16,RADIO PULSAR
77,0692830301,MOS2,S002,16.8,328.2,4.8,2FGL J1536.4-4949,GAMMA RAY SOURCE
78,0601830501,MOS1,S001,16.8,349.6,-42.8,NGC7029,ELLIPTICAL GALAXY
79,0692830301,MOS1,S001,16.8,328.2,4.8,2FGL J1536.4-4949,GAMMA RAY SOURCE
80,0656201701,MOS1,S001,16.6,337.1,-26.0,PLCK G337.1-26.0,CLUSTER OF GALAXIES
81,0744940101,MOS2,S002,16.6,40.5,-19.0,WASP-80,STAR K0
82,0744250401,MOS1,S001,16.6,40.1,15.5,MAXI J1807+132,SUPERMASSIVE BLACK HOLE
83,0744940101,MOS1,S001,16.4,40.5,-19.0,WASP-80,STAR K0
84,0400460401,MOS1,S003,16.4,6.2,-38.3,HD 197890,STAR K0V
85,0762950101,PN,S003,16.4,20.9,38.0,PSZ1G020.72+38.01,CLUSTER OF GALAXIES (NON-ABELL)
86,0307001901,PN,S003,16.4,329.1,-7.1,ESO 137-G34,SEYFERT RADIO QUIET TYPE 2
87,0765000301,MOS2,S002,16.4,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
88,0674490401,PN,S003,16.3,341.2,-36.1,SPT-CLJ2032-5627,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
89,0400460401,MOS2,S004,16.1,6.2,-38.3,HD 197890,STAR K0V
90,0765000301,MOS1,S001,15.9,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
91,0673420101,MOS1,S001,15.9,327.4,-15.8,LSQ 172554.8-643839,CV AM HER (POLAR) ECLIPSING
92,0301880901,MOS2,S002,15.9,29.1,1.5,G28.8+1.5,SNR
93,0760290301,MOS2,S002,15.7,315.7,-0.7,Alpha Cen,STAR G2V
94,0301880901,MOS1,S001,15.5,29.1,1.5,G28.8+1.5,SNR
95,0692933801,MOS1,S001,15.5,347.2,-27.4,PLCKESZG347.18-27.35,CLUSTER OF GALAXIES (NON-ABELL)
96,0305590401,PN,S003,15.4,38.2,-7.7,176B,UNIDENTIFIED
97,0720174001,PN,S003,15.4,38.3,-7.3,CoRoT 2a,STAR G7V
98,0720173401,PN,S003,15.3,38.3,-7.3,CoRoT 2a,STAR G7V
99,0201730301,MOS2,S002,15.1,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
100,0304200401,MOS1,S001,15.1,329.8,3.4,HD 330075,STAR G0V
101,0720280101,PN,S003,15.1,326.1,17.4,IG RJ14488-4008,SEYFERT RADIO QUIET TYPE 1
102,0653050301,PN,S009,14.9,341.1,-32.9,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
103,0410580101,MOS2,S003,14.9,43.0,0.8,SGR 1900+14,X-RAY BINARY
104,0410580101,MOS1,S002,14.9,43.0,0.8,SGR 1900+14,X-RAY BINARY
105,0724770201,PN,S003,14.9,341.0,-35.9,SPT-CL-J2031-5638,CLUSTER OF GALAXIES (NON-ABELL)
106,0410581901,MOS2,S003,14.8,327.2,-0.1,1E 1547.0-5408,ANOMALOUS X-RAY PULSAR
107,0021750501,PN,S006,14.8,321.5,-15.3,AlphaTrA,STAR K2II
108,0653050601,PN,S009,14.7,341.4,-33.1,Abell 3667 NW Shock,CLUSTER OF GALAXIES ABELL CLASS 0
109,0153190101,MOS1,U002,14.7,353.8,7.3,X1658-298,LMXRB BURSTER ECLIPSING DIPPER
110,0692932401,MOS2,S003,14.6,0.4,-41.9,PLCKESZG000.44-41.83,CLUSTER OF GALAXIES (NON-ABELL)
111,0652010301,PN,S003,14.5,22.2,-38.8,RXCJ2102.1-2431,CLUSTER OF GALAXIES (NON-ABELL)
112,0307001101,MOS1,S001,14.5,326.8,25.2,IRAS 14317-3237,SEYFERT RADIO QUIET TYPE 2
113,0674490601,MOS1,S001,14.5,332.9,-34.1,SPT-CLJ2022-6324,CLUSTER OF GALAXIES (NON-ABELL) WITH COOLING FLOW
114,0760290301,MOS1,S001,14.4,315.7,-0.7,Alpha Cen,STAR G2V
115,0203020201,MOS2,S002,14.3,7.7,-36.9,ABELL 3705,CLUSTER OF GALAXIES ABELL CLASS 2
116,0136030201,MOS1,S009,14.2,38.6,-0.0,G38.55+0.0,SNR SHELL
117,0201730201,PN,S003,14.0,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
118,0085180501,MOS1,S001,14.0,35.7,-4.1,Aql X-1,UNCLASSIFIED
119,0720174101,PN,S003,13.9,38.3,-7.3,CoRoT 2a,STAR G7V
120,0691250401,MOS2,S002,13.9,332.2,-21.8,AM 1827-625,STARBURST GALAXY
121,0553640201,PN,U002,13.8,40.4,-1.0,MGRO 1908+06,UNIDENTIFIED
122,0150190201,MOS2,S002,13.8,339.9,-31.3,V393 Pav,CV AM HER (POLAR)
123,0691320701,MOS2,S002,13.7,17.9,-34.3,BZBJ2038-2636,BL LAC RADIO LOUD FLAT RADIO SP
124,0720581101,PN,S003,13.7,315.7,-0.7,alpha Cen,STAR G2V
125,0067340601,MOS2,S002,13.6,20.0,40.0,Field VI,X-RAY BACKGROUND
126,0085200401,MOS2,S005,13.5,41.1,-0.3,3C397,SNR
127,0067340601,MOS1,S001,13.4,20.0,40.0,Field VI,X-RAY BACKGROUND
128,0136030201,MOS2,S010,13.4,38.6,-0.0,G38.55+0.0,SNR SHELL
129,0765000301,PN,S003,13.4,17.8,-39.6,A3733,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
130,0406140201,PN,S003,13.3,29.8,-0.7,IGR J18483-0311,UNIDENTIFIED
131,0679180201,MOS1,S002,13.3,352.1,-24.0,PLCK G352.1-24.0,CLUSTER OF GALAXIES
132,0067340401,MOS2,S002,13.3,25.0,20.0,Field IV,X-RAY BACKGROUND
133,0402780501,MOS1,S001,13.2,12.8,39.1,J155855.79+024833.9,RADIO GALAXY RADIO LOUD TYPE 1
134,0741891801,PN,S001,13.1,29.7,10.7,NPS 18,X-RAY BACKGROUND
135,0742820101,PN,U002,13.1,38.0,-0.1,2FGL J1901.1+0427,GAMMA RAY SOURCE
136,0673540501,MOS2,S002,13.0,335.7,8.5,HD 142527,HERBIG AE/BE STAR
137,0405390401,MOS1,S002,12.9,323.4,-1.7,IGRJ15359-5750,UNIDENTIFIED
138,0670380401,MOS2,U002,12.9,5.2,-30.9,Gl 783,STAR K2V
139,0741700301,PN,S003,12.8,315.7,-0.7,alpha Cen,STAR G2V
140,0692930101,PN,S003,12.8,345.5,-39.3,PLCKESZG345.40-39.34,CLUSTER OF GALAXIES (NON-ABELL)
141,0690210101,MOS2,S002,12.7,318.9,9.2,HD 127381,STAR B1V
142,0744940101,PN,S003,12.6,40.5,-19.0,WASP-80,STAR K0
143,0655380901,PN,S003,12.6,10.0,41.5,NGC5990,SEYFERT RADIO QUIET TYPE 2
144,0673420101,PN,S003,12.4,327.4,-15.8,LSQ 172554.8-643839,CV AM HER (POLAR) ECLIPSING
145,0306050901,MOS1,S001,12.3,342.0,36.3,NGC5793,UNDEFINED
146,0762800401,MOS2,S002,12.1,4.0,-42.0,G003.95-42.01,CLUSTER OF GALAXIES ABELL CLASS >2
147,0677181901,MOS1,S001,12.1,8.4,25.9,RXCJ1633.8-0738,CLUSTER OF GALAXIES ABELL CLASS 1
148,0202611401,MOS2,S002,12.0,315.7,-0.7,ALPHA CEN,STAR G2V
149,0654550801,PN,S003,11.9,315.7,-0.7,alpha Cen,STAR G2V
150,0067340501,MOS1,S001,11.9,20.0,30.0,Field V,X-RAY BACKGROUND
151,0301880901,PN,S003,11.8,29.1,1.5,G28.8+1.5,SNR
152,0202611401,MOS1,S001,11.6,315.7,-0.7,ALPHA CEN,STAR G2V
153,0692830301,PN,S003,11.4,328.2,4.8,2FGL J1536.4-4949,GAMMA RAY SOURCE
154,0205920401,MOS2,S002,11.4,350.4,-32.6,PKS 2005-489,BL LAC RADIO LOUD FLAT RADIO SP
155,0081340601,MOS2,S002,11.3,22.2,19.4,IRAS17208-00,IR GALAXY
156,0112440401,MOS2,S002,11.3,35.7,-4.1,Aql X-1,LMXRB QPO AND PULSAR SOFT TRANSIENT
157,0741892201,MOS2,S003,11.2,28.8,7.4,NPS 7,X-RAY BACKGROUND
158,0112440401,MOS1,S001,11.2,35.7,-4.1,Aql X-1,LMXRB QPO AND PULSAR SOFT TRANSIENT
159,0720340601,MOS1,S001,11.2,337.8,-32.0,NU Pav,STAR M6III
160,0722160501,MOS1,U002,11.1,13.0,-35.4,ASASSN-15oi,SUPERMASSIVE BLACK HOLE
161,0306170201,MOS2,S002,11.0,32.7,0.5,IGR J18490-0000,UNIDENTIFIED
162,0783012401,PN,S003,11.0,43.5,-9.6,NO Aql,STAR M4III
163,0720340601,MOS2,S002,10.9,337.8,-32.0,NU Pav,STAR M6III
164,0651281101,MOS1,S001,10.8,24.4,-17.8,PKS 1938-15,RADIO GALAXY RADIO LOUD STEEP RADIO SP
165,0085680601,MOS1,S002,10.8,338.9,-4.3,GX 339-4,LMXRB GLOBULAR CLUSTER BLACK HOLE
166,0205920401,MOS1,S001,10.7,350.4,-32.6,PKS 2005-489,BL LAC RADIO LOUD FLAT RADIO SP
167,0785130301,MOS1,S001,10.5,349.3,24.1,HD 142097,STAR A5V
168,0410580101,PN,S001,10.3,43.0,0.8,SGR 1900+14,X-RAY BINARY
169,0765000101,MOS1,S001,10.3,346.4,-41.4,RXCJ2104.9-5149,CLUSTER OF GALAXIES ABELL CLASS 2 WITH COOLING FLOW
170,0690170701,MOS1,S001,10.2,0.7,-35.7,RXCJ2031.8-4037,CLUSTER OF GALAXIES ABELL CLASS 2
171,0650383001,MOS1,S001,10.2,6.3,27.1,MACSJ1625-08,CLUSTER OF GALAXIES (NON-ABELL)
172,0741892201,MOS1,S002,10.2,28.8,7.4,NPS 7,X-RAY BACKGROUND
173,0785130301,MOS2,S002,10.1,349.3,24.1,HD 142097,STAR A5V
174,0201730101,MOS2,S002,10.1,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
175,0651281201,PN,S003,10.0,12.2,37.0,PKS 1602+01,RADIO GALAXY RADIO LOUD STEEP RADIO SP
176,0721910701,MOS2,S002,10.0,328.6,-17.9,PGC 60849,IRREGULAR GALAXY
177,0201730101,MOS1,S001,10.0,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
178,0654470501,MOS2,S002,10.0,332.2,23.9,Cen X-4,LMXRB BURSTER SOFT TRANSIENT
179,0652660201,MOS1,S001,9.9,337.2,-18.1,ESO182-007,ELLIPTICAL GALAXY
180,0692933801,PN,S003,9.9,347.2,-27.4,PLCKESZG347.18-27.35,CLUSTER OF GALAXIES (NON-ABELL)
181,0065820501,MOS2,S008,9.9,31.6,5.3,Serpens exposure 1,STAR FORMING REGION
182,0721830701,MOS1,S001,9.8,27.1,32.9,J164313.8+095417,GALAXY
183,0690210101,PN,S003,9.8,318.9,9.2,HD 127381,STAR B1V
184,0301880401,MOS2,S002,9.8,27.8,0.6,G27.8+0.6,SNR
185,0679180101,PN,S001,9.7,348.4,-25.5,PLCK G348.4-25.5,CLUSTER OF GALAXIES
186,0784770401,MOS1,S001,9.7,10.7,30.7,PSR J1622-03,RADIO PULSAR
187,0690210401,MOS2,S002,9.7,10.7,-19.0,HD182180,STAR B2V
188,0721830701,MOS2,S002,9.7,27.1,32.9,J164313.8+095417,GALAXY
189,0674330501,MOS1,S001,9.7,329.9,20.5,PKS 1454-354,BL LAC RADIO LOUD/FLAT SPECT FLAT RADIO SP
190,0201730301,PN,S003,9.6,36.1,8.3,NGC 6633,OPEN STAR CLUSTER
191,0021750401,MOS1,S004,9.6,321.5,-15.3,AlphaTrA,STAR K2II
192,0744390401,PN,S003,9.5,340.2,-33.2,RXCJ2011.3-5725,CLUSTER OF GALAXIES (NON-ABELL)
193,0306050901,PN,S003,9.4,342.0,36.3,NGC5793,UNDEFINED
194,0044350501,MOS2,S002,9.4,31.4,-22.0,IRAS20051-1117,SEYFERT
195,0652350301,MOS1,S001,9.4,338.4,16.6,Sz 67,T TAURI STAR
196,0722250201,MOS1,S001,9.1,37.8,1.2,2FGL J1856.2+0450c,GAMMA RAY SOURCE PULSAR
197,0081340601,MOS1,S001,9.1,22.2,19.4,IRAS17208-00,IR GALAXY
198,0691030601,MOS1,S001,9.1,20.6,10.1,Y Oph,STAR K0V
199,0110011401,MOS1,S003,9.1,315.4,-2.1,RCW 86 (NW),OB ASSOCIATION/HII REGION
200,0302970801,PN,S003,9.0,30.3,-0.5,SB-1,CLOUD
201,0301880401,MOS1,S001,9.0,27.8,0.6,G27.8+0.6,SNR
202,0677181801,MOS1,S001,9.0,329.0,29.2,RXCJ1435.0-2821,CLUSTER OF GALAXIES ABELL CLASS 1
203,0021750101,MOS1,S004,8.9,321.5,-15.3,AlphaTrA,STAR K2II
204,0044350501,MOS1,S001,8.9,31.4,-22.0,IRAS20051-1117,SEYFERT
205,0044741401,MOS2,S005,8.8,29.9,11.4,70 Oph,STAR K0V
206,0051940401,MOS1,S001,8.8,19.8,-0.3,XGPS_004,EXTENDED GALACTIC OR EXTRAGALACTIC
207,0654470501,MOS1,S001,8.7,332.2,23.9,Cen X-4,LMXRB BURSTER SOFT TRANSIENT
208,0762800401,PN,S003,8.2,4.0,-42.0,G003.95-42.01,CLUSTER OF GALAXIES ABELL CLASS >2
209,0679181501,PN,S001,8.2,329.5,-22.7,PLCK G329.5-22.7,CLUSTER OF GALAXIES
210,0741581601,MOS1,S001,8.1,21.4,-40.1,ABELL 3744,GROUP OF GALAXIES
211,0658200301,PN,S002,8.1,19.1,31.2,PLCK G019.1+31.2,CLUSTER OF GALAXIES
212,0109130601,MOS2,S003,8.0,329.8,-23.2,ESO103-G35,SEYFERT TYPE 2
213,0679180201,PN,S001,8.0,352.1,-24.0,PLCK G352.1-24.0,CLUSTER OF GALAXIES
214,0550120301,MOS1,U002,8.0,338.9,14.5,GQ Lup,T TAURI STAR
215,0051940501,MOS1,S001,8.0,20.2,0.3,XGPS_005,EXTENDED GALACTIC OR EXTRAGALACTIC
216,0303180101,MOS2,S002,8.0,340.7,26.8,GW Lib,CV DWARF NOVA SU UMA TYPE
217,0602731101,MOS1,S001,8.0,1.3,21.0,RNO 90,T TAURI STAR
218,0085280201,MOS2,S002,7.9,18.4,16.0,NGC6366,LMXRB GLOBULAR CLUSTER
219,0200430601,MOS2,S002,7.9,345.9,-34.5,IC4995,SEYFERT RADIO QUIET TYPE 2
220,0721910701,PN,S003,7.8,328.6,-17.9,PGC 60849,IRREGULAR GALAXY
221,0652350601,PN,S003,7.7,343.2,14.8,RXJ1603.2-3239,T TAURI STAR
222,0741581601,MOS2,S002,7.7,21.4,-40.1,ABELL 3744,GROUP OF GALAXIES
223,0690170701,PN,S003,7.6,0.7,-35.7,RXCJ2031.8-4037,CLUSTER OF GALAXIES ABELL CLASS 2
224,0722250201,PN,U002,7.4,37.8,1.2,2FGL J1856.2+0450c,GAMMA RAY SOURCE PULSAR
225,0044740101,MOS2,S005,7.4,29.9,11.4,70 Oph,STAR K0V
226,0211080201,MOS2,S002,7.4,38.6,-10.0,SA111-1925,STAR A0
227,0303180101,MOS1,S001,7.3,340.7,26.8,GW Lib,CV DWARF NOVA SU UMA TYPE
228,0742520201,MOS1,S001,7.3,42.3,3.1,PSR J1857+0943,RADIO PULSAR
229,0211080201,MOS1,S001,7.3,38.6,-10.0,SA111-1925,STAR A0
230,0201500201,MOS2,S002,7.3,32.3,-1.0,AX J1853.5-0103,X-RAY PULSATOR
231,0203020201,PN,U002,7.3,7.7,-36.9,ABELL 3705,CLUSTER OF GALAXIES ABELL CLASS 2
232,0051940101,MOS1,S001,7.2,19.4,0.3,XGPS_001,EXTENDED GALACTIC OR EXTRAGALACTIC
